t_ns,delta_s
125630019034812,1.3099713290000001
125631742395559,1.723360747
125631888883664,0.146488105
125631917909494,0.029025830000000002
125631964361538,0.046452044000000005
125632321349876,0.356988338
125633109348579,0.7879987030000001
125633146124187,0.036775608
125633478118665,0.33199447800000004
125634302782369,0.824663704
125635636275596,1.3334932270000002
125636821396208,1.1851206120000002
125637094971197,0.273574989
125637141635486,0.046664289000000005
125638026900931,0.885265445
125639676627262,1.649726331
125640110703369,0.43407610700000004
125640582247511,0.47154414200000005
125640892702223,0.310454712
125641241863490,0.349161267
125641845871352,0.604007862
125641866247405,0.020376053
125642272081824,0.405834419
125642345949301,0.073867477
125643088794222,0.742844921
125645166790264,2.077996042
125645208598293,0.041808029000000003
125645560500367,0.351902074
