t_ns,delta_s
125647953058613,0.32703392200000003
125648003382908,0.050324295000000005
125649296630662,1.293247754
125651315952295,2.019321633
125652229692286,0.913739991
125653546350792,1.316658506
125653789918000,0.243567208
125653820684701,0.030766701
125654360860820,0.5401761190000001
125655032789199,0.671928379
125655134768424,0.101979225
125656304439218,1.1696707940000002
125658095200912,1.7907616940000002
125658824399704,0.729198792
125659395251801,0.5708520970000001
125659809604673,0.41435287200000004
125660059619354,0.250014681
125660193038520,0.133419166
125661398089059,1.2050505390000001
125661425954758,0.027865699
125661717200969,0.29124621100000003
125661720371695,0.003170726
125661859912238,0.13954054300000002
125661878340308,0.01842807
125663452985432,1.5746451240000001
125663529356922,0.07637149
125664668664467,1.139307545
125667248112314,2.579447847
