t_ns,delta_s
125390061136234,0.714650745
125390241842720,0.180706486
125390497622259,0.255779539
125390530915959,0.0332937
125391128381751,0.597465792
125391145411256,0.017029505
125391222884068,0.077472812
125391875093990,0.652209922
125392307871983,0.432777993
125392349721132,0.041849149
125392385972839,0.036251707
125392494162732,0.10818989300000001
125392796814804,0.302652072
125392823095173,0.026280369
125392946780424,0.12368525100000001
125393153953350,0.207172926
125393260663624,0.10671027400000001
125394014323328,0.753659704
125394049241640,0.034918312
125394155091931,0.10585029100000001
125394503346675,0.348254744
125395440426522,0.937079847
125395777307384,0.336880862
125396204710139,0.427402755
125396262709972,0.057999833
125396294623007,0.031913035
125396371925290,0.077302283
125396536389944,0.16446465400000002
125397324571371,0.788181427
125397359869703,0.035298332
125397510509018,0.150639315
125397776067946,0.265558928
125398122456066,0.34638812
125398630123622,0.507667556
125398668693227,0.038569605
125398699987427,0.0312942
125398833943820,0.133956393
125399127548814,0.293604994
125399242981807,0.11543299300000001
125399734914109,0.49193230200000004
125399735245649,0.00033154
125400026976698,0.291731049
125400105864757,0.07888805900000001
125400979620849,0.873756092
125401081765636,0.102144787
125401570951756,0.48918612000000006
125401608601315,0.037649559
125401814834691,0.20623337600000002
125401884784932,0.06995024100000001
125402117605403,0.232820471
125402267457317,0.149851914
125402785840067,0.51838275
125402819139966,0.033299899
125403153975790,0.334835824
125403186386875,0.032411085
125403343383650,0.156996775
125403642956313,0.299572663
125404347384921,0.7044286080000001
125404607505244,0.26012032300000004
125405068957431,0.461452187
125405092800343,0.023842912
125405181656242,0.088855899
125405669323842,0.48766760000000003
125406050428630,0.381104788
125406324277998,0.27384936800000004
125406438945032,0.114667034
125408140269490,1.7013244580000002
