t_ns,attempts_total,attempts_per_s
125696940051461,153320,153320
125697858877517,305491,152171
125698858876511,437483,131992
125699913044743,600974,163491
125700994182724,768088,167114
125701858877070,915082,146994
125702886031038,1067954,152872
125703968041568,1239134,171180
125704858877832,1387341,148207
125705859036868,1530465,143124
125706940075657,1697306,166841
125707858876233,1861162,163856
125708858875854,2006836,145674
125709913052306,2170532,163696
125710994212656,2341182,170650
125711858875251,2483035,141853
125712886116944,2635007,151972
125713967186169,2800146,165139
125714858877213,2953584,153438
