t_ns,attempts_total,attempts_per_s
125389848608943,339017,339017
125390848607558,759034,420017
125391848607695,1169335,410301
125392848609248,1559611,390276
125393849730382,1923892,364281
125394848609258,2284621,360729
125395848607973,2680311,395690
125396848607600,3102705,422394
125397848608364,3523809,421104
125398848609278,3938509,414700
125399848607517,4360800,422291
125400848607530,4782861,422061
125401848608400,5200993,418132
125402848608290,5614036,413043
125403848607707,6018705,404669
125404848609732,6433145,414440
125405848608120,6849922,416777
125406848607707,7219139,369217
125407848607878,7637981,418842
