t_ns,attempts_total,attempts_per_s
125539971912654,202424,202424
125541055503954,354077,151653
125541971913688,523526,169449
125543138834471,700198,176672
125543973025073,833473,133275
125544971912885,1008983,175510
125546055486726,1160535,151552
125546971913212,1325693,165158
125548138830542,1502228,176535
125548972036720,1643393,141165
125549971912705,1834502,191109
125551055500530,1987635,153133
125551971911490,2152931,165296
125553138812039,2329031,176100
125553972045957,2464589,135558
125554971912496,2657511,192922
125556055492604,2805995,148484
125556971912656,2973328,167333
125558138832228,3153725,180397
