t_ns,delta_s
125409106231905,0.10106441000000001
125409148652343,0.042420438000000005
125409696950745,0.548298402
125410509158492,0.8122077470000001
125410947786631,0.43862813900000003
125411794263541,0.84647691
125411826349868,0.032086327000000005
125411853336264,0.026986396000000003
125412140123467,0.286787203
125412340546278,0.200422811
125412423744056,0.083197778
125412873305133,0.44956107700000003
125413670697661,0.797392528
125413938196754,0.267499093
125414238277999,0.300081245
125414418528455,0.180250456
125414453121617,0.034593162000000004
125414570493703,0.117372086
125415057862397,0.48736869400000005
125415079197999,0.021335602000000002
125415149006701,0.069808702
125415151623938,0.002617237
125415271519062,0.119895124
125415287533606,0.016014544000000002
125415931482908,0.643949302
125415996358781,0.064875873
125416423837698,0.427478917
125417537308186,1.1134704880000001
125417661143135,0.12383494900000001
125418326097411,0.664954276
125419439349304,1.1132518930000002
125419672431413,0.233082109
125419733038804,0.060607391000000004
125419791049695,0.058010891
125420570947665,0.77989797
125421351772309,0.7808246440000001
125421994251934,0.642479625
125422474826665,0.48057473100000003
125422606091404,0.13126473900000002
125422812075041,0.20598363700000002
125422989406851,0.17733181
125423642452758,0.6530459070000001
125424025696500,0.383243742
125424322242754,0.296546254
125424398931148,0.07668839400000001
125424548608166,0.14967701800000002
125425600441775,1.051833609
125425844205283,0.24376350800000002
125426137653087,0.29344780400000003
125426329440249,0.191787162
125426467418159,0.13797791
125426495941508,0.028523349000000003
125426867527822,0.37158631400000003
125427037672741,0.170144919
125427265876689,0.22820394800000002
125428176557057,0.9106803680000001
125428664394071,0.487837014
125428684709251,0.020315180000000002
125428723586794,0.038877543
