t_ns,delta_s
125793299217217,0.102927418
125793343059082,0.043841865
125793873813776,0.5307546940000001
125794678797212,0.804983436
125795138674710,0.45987749800000005
125795755289221,0.6166145110000001
125795785757209,0.030467988
125795807893045,0.022135836000000002
125796113280345,0.30538730000000003
125796387751352,0.27447100700000004
125796476011426,0.08826007400000001
125796925661216,0.44964979000000005
125797729927526,0.80426631
125797993777162,0.263849636
125798284727877,0.290950715
125798459276692,0.17454881500000002
125798496779838,0.037503146
125798617319128,0.12053929000000001
125799087976939,0.47065781100000004
125799109958383,0.021981444000000003
125799178754546,0.06879616300000001
125799182479324,0.003724778
125799299056768,0.116577444
125799313718254,0.014661486000000001
125799938833529,0.6251152750000001
125800006920962,0.068087433
125800438310065,0.43138910300000005
125801560588467,1.122278402
125801689945779,0.129357312
125802372132820,0.682187041
125803506007210,1.1338743900000001
125803725256869,0.219249659
125803779030612,0.053773743000000006
125803835425647,0.056395035
125804586854696,0.7514290490000001
125805355689261,0.768834565
125805998006074,0.642316813
125806492973865,0.49496779100000005
125806630968241,0.137994376
125806837380017,0.20641177600000002
125807020186379,0.182806362
125807720724961,0.7005385820000001
125808121487232,0.400762271
125808431167203,0.309679971
125808512646007,0.081478804
125808664463853,0.151817846
125809804874762,1.140410909
125810056084479,0.251209717
125810351659910,0.295575431
125810548525196,0.196865286
125810687674372,0.139149176
125810716621975,0.028947603000000002
125811093035433,0.37641345800000003
125811267494726,0.17445929300000002
125811502071273,0.23457654700000002
125812434992560,0.9329212870000001
125812950907904,0.515915344
125812972405338,0.021497434000000003
125813020824421,0.048419083
