t_ns,attempts_total,attempts_per_s
125794121619164,410419,410419
125795121619833,783473,373054
125796122459284,1163380,379907
125797121619958,1541947,378567
125798121619167,1951890,409943
125799121618917,2355602,403712
125800121619652,2761818,406216
125801121619028,3169024,407206
125802121620788,3575231,406207
125803121619239,3984008,408777
125804121620667,4394436,410428
125805121620057,4801007,406571
125806121624915,5205639,404632
125807121620520,5612410,406771
125808121619652,6004256,391846
125809121619199,6384502,380246
125810121621429,6795489,410987
125811121620224,7204547,409058
125812121620271,7613496,408949
