t_ns,delta_s
125599400640352,0.09924150300000001
125599443194440,0.042554088000000004
125599962018030,0.51882359
125600776791643,0.8147736130000001
125601201590529,0.42479888600000004
125601827968019,0.6263774900000001
125601855742995,0.027774976000000003
125601879681812,0.023938817
125602150335389,0.27065357700000003
125602347480202,0.197144813
125602429804843,0.082324641
125602872340329,0.44253548600000003
125603656852606,0.784512277
125603911983628,0.25513102200000004
125604192437898,0.28045427
125604360681572,0.168243674
125604393523238,0.032841666000000005
125604504202439,0.110679201
125604964187637,0.45998519800000004
125604985091849,0.020904212000000002
125605056278957,0.071187108
125605059294004,0.0030150470000000003
125605177314362,0.118020358
125605192407806,0.015093444000000001
125605816740695,0.6243328890000001
125605878250471,0.061509776
125606296520385,0.418269914
125607374064635,1.07754425
125607497089609,0.12302497400000001
125608155785563,0.658695954
125609246596818,1.090811255
125609465323489,0.218726671
125609516250930,0.050927441000000004
125609573360157,0.057109227000000005
125610308756046,0.7353958890000001
125611046872965,0.7381169190000001
125611676094592,0.6292216270000001
125612156593220,0.48049862800000004
125612287105780,0.13051256
125612489030762,0.201924982
125612662526637,0.17349587500000002
125613300763704,0.638237067
125613676889984,0.37612628000000004
125613970620779,0.29373079500000004
125614047730810,0.07711003100000001
125614195886070,0.14815526
125615234830125,1.038944055
125615475903165,0.24107304000000002
125615764651287,0.288748122
125615952067699,0.187416412
125616088174468,0.13610676900000002
125616116810539,0.028636071000000003
125616492528638,0.375718099
125616663022845,0.170494207
125616885982895,0.22296005000000002
125617783059798,0.8970769030000001
125618318091765,0.535031967
125618338825747,0.020733982
125618378330688,0.039504941
125618590219358,0.21188867
