t_ns,attempts_total,attempts_per_s
125490997828535,366126,366126
125491997835152,745866,379740
125492997827162,1130417,384551
125493997825339,1516850,386433
125494997837546,1882667,365817
125495997825477,2234645,351978
125496997827300,2615346,380701
125497997826965,2996630,381284
125498997826699,3370602,373972
125499997825962,3755234,384632
125500997827017,4138012,382778
125501997825463,4482662,344650
125502997827648,4870018,387356
125503997826854,5253617,383599
125504997825284,5642384,388767
125505997825491,6032140,389756
125506997826518,6393149,361009
125507997825399,6717432,324283
125508997825879,7099459,382027
