t_ns,delta_s
125793238126674,0.041836875
125793277317169,0.039190495000000006
125793384967630,0.107650461
125793504008008,0.119040378
125796174857753,2.6708497450000004
125796550518783,0.37566103
125796625494965,0.074976182
125796707291600,0.081796635
125796736416567,0.029124967
125796755844890,0.019428323
125796827242757,0.071397867
125796851724365,0.024481608000000002
125797118141076,0.26641671100000003
125797426207161,0.30806608500000005
125798461916027,1.035708866
125798484178615,0.022262588
125798748082342,0.26390372700000003
125798812290484,0.06420814200000001
125798835368501,0.023078017000000003
125798935012267,0.09964376600000001
125799409421593,0.474409326
125799580989153,0.17156756
125799617727791,0.036738638000000004
125799636452035,0.018724244
125799795220815,0.15876878
125799951372847,0.156152032
125800661624335,0.710251488
125800920794558,0.25917022300000003
125801154358851,0.233564293
125801318462780,0.164103929
125801409066076,0.090603296
125801896643713,0.487577637
125803133532167,1.236888454
125803743743077,0.61021091
125804063714237,0.31997116000000003
125804315267752,0.251553515
125805524233485,1.208965733
125805749104240,0.224870755
125806187973007,0.43886876700000005
125806431411957,0.24343895000000002
125806535616047,0.10420409000000001
125806585064918,0.049448871000000005
125806634303608,0.04923869
125806672576010,0.038272402000000004
125806697132808,0.024556798
125807443110183,0.745977375
125807606065633,0.16295545
125807940792432,0.334726799
125808686133125,0.745340693
125808830024544,0.14389141900000002
125809125792091,0.295767547
125809400958550,0.27516645900000003
125809490997379,0.090038829
125809528583257,0.037585878
125811141793568,1.613210311
125811169183784,0.027390216000000002
125811544813494,0.37562971
125812157150006,0.612336512
125813020824416,0.86367441
