t_ns,attempts_total,attempts_per_s
125511145321689,382438,382438
125512145323356,706885,324447
125513145471078,1043169,336284
125514145320453,1424837,381668
125515145319621,1805583,380746
125516145320776,2188601,383018
125517145321354,2574232,385631
125518145322072,2957269,383037
125519145320180,3341817,384548
125520145321583,3717877,376060
125521145321469,4069550,351673
125522145319872,4439868,370318
125523145320690,4825053,385185
125524145320576,5213804,388751
125525145321844,5603818,390014
125526145321993,5993736,389918
125527145321425,6381556,387820
125528145321164,6770601,389045
125529145320721,7156987,386386
