window_idx,window_t0_ns,window_t1_ns,cv,hist_entropy,hamming_norm,event_rate_hz,psd_peak_hz,psd_peak_power,psd_peak_snr_db,psd_peak_bandwidth_hz,psd_peak_q,psd_peak_hz_error_hz
0,125628709063483,125637877504186,1.0393868806123399,0.7043281272686636,0.4713541666666667,1.7451168108405446,5.652173913043478,25.005898544848442,7.470556027738993,0.10869565217391308,51.99999999999998,3.2521739130434777
1,125628855551588,125638665502889,0.9530049730722323,0.6649725915234711,0.47317708333333336,1.6309968835797384,2.4365482233502536,30.431525928122422,7.892481240613563,0.20304568527918798,11.99999999999999,0.03654822335025365
2,125630933547630,125639975474218,0.8644673477227721,0.6913129524261908,0.471875,1.7695343845452596,2.5414364640883975,28.65325785444092,9.055440644281724,0.22099447513812143,11.500000000000005,0.1414364640883976
3,125631367623737,125640447018360,0.8596157721147749,0.6913129524261908,0.4708333333333333,1.762232028054895,2.5274725274725274,29.533161604350006,9.375566162763976,0.2197802197802199,11.499999999999995,0.12747252747252746
4,125631404399345,125641051026222,0.7714071073079024,0.6913129524261908,0.47630208333333335,1.658610849575622,2.4870466321243523,25.060802171431256,6.458912615562557,0.10362694300518127,24.000000000000018,0.08704663212435237
5,125631451063634,125641097478266,0.7714524267650099,0.6913129524261908,0.4765625,1.658647343119928,2.4870466321243523,25.010952529558917,6.4613380127552915,0.10362694300518127,24.000000000000018,0.08704663212435237
6,125632336329079,125641503312685,0.8097141382716753,0.6913129524261908,0.4786458333333333,1.7453941981010672,2.4999999999999996,26.345787859243398,9.602175444872113,0.10869565217391308,22.99999999999999,0.09999999999999964
7,125632646783791,125641577180162,0.8544203018348778,0.6913129524261908,0.4856770833333333,1.791633801603407,2.4581005586592175,19.857471473274313,5.877771066162671,0.1117318435754191,21.999999999999975,0.058100558659217594
8,125632688591820,125642910673389,0.7594446963906436,0.6646462857595241,0.48463541666666665,1.565238928294449,2.4390243902439024,21.543852464373828,8.460038030250129,0.19512195121951237,12.49999999999999,0.039024390243902474
9,125633040493894,125643267661727,0.758730051189981,0.6646462857595241,0.48489583333333336,1.5644604900657642,2.4390243902439024,21.72843029276239,7.954875857917899,0.09756097560975618,24.99999999999998,0.039024390243902474
10,125634763854641,125643616822994,0.7366693693027389,0.6279144523973446,0.48046875,1.8073034220864561,2.4719101123595504,15.936837295747479,6.745029809900335,0.2247191011235956,10.999999999999995,0.07191011235955047
11,125635506699562,125645266549325,0.7891384409823143,0.6646462857595241,0.4825520833333333,1.6393694973314723,1.8367346938775508,21.372124952259156,6.306263191970919,0.5102040816326532,3.5999999999999988,0.5632653061224491
12,125635838694040,125645286925378,0.8465026536627928,0.6757566986972351,0.4828125,1.693438637097012,2.751322751322751,21.339845313993496,7.202997457364583,0.10582010582010559,26.000000000000053,0.35132275132275126
13,125636663357744,125645560500367,0.9066674908985277,0.7043281272686637,0.4859375,1.7983301693555418,1.797752808988764,21.490991952413236,6.702406712215897,0.449438202247191,4.0,0.6022471910112359
