t_ns,delta_s
125510348553540,0.12043427400000001
125510395875712,0.047322172
125510784963008,0.389087296
125510895791793,0.11082878500000001
125515039789163,4.14399737
125515086766223,0.04697706
125515163005271,0.076239048
125515201528573,0.038523302
125515265167745,0.06363917200000001
125515295419332,0.030251587000000003
125515321856829,0.026437497
125515412284073,0.090427244
125515797625207,0.38534113400000003
125516231512969,0.433887762
125516317504182,0.08599121300000001
125516417721936,0.100217754
125516511147137,0.093425201
125516531392993,0.020245856
125516742030194,0.21063720100000002
125516935145192,0.193114998
125517077701306,0.142556114
125517089494622,0.011793316
125517241953921,0.15245929900000002
125517459574668,0.217620747
125517622985995,0.16341132700000002
125518182937630,0.559951635
125518451465115,0.268527485
125518592202461,0.140737346
125518692924020,0.100721559
125519372134492,0.6792104720000001
125520762734381,1.390599889
125521756675043,0.9939406620000001
125522141255159,0.384580116
125522271822077,0.130566918
125522779453886,0.507631809
125523934295635,1.154841749
125524290124137,0.35582850200000005
125524409632777,0.11950864000000001
125524497635084,0.088002307
125524504897450,0.007262366
125524562704510,0.05780706
125524623276102,0.060571592
125525713608203,1.090332101
125525768788249,0.055180046
125526561060409,0.79227216
125526938770320,0.377709911
125527061362144,0.122591824
125527616716084,0.55535394
125527961087417,0.344371333
125528006484687,0.04539727
125528371193429,0.36470874200000003
125528421298360,0.050104931000000005
125528555749678,0.13445131800000001
125528968073888,0.41232421
125529670352832,0.702278944
