t_ns,nonce,hash_hex,difficulty_bits,attempts_since_prev,backend,notes_json
1766782656523316736,0,0000000000000000000000000000000000000000000000000000000000000000,0,0,lv06_silicon,"{""hw"": ""lv06"", ""rt"": 1.5819237999385223}"
1766782697832428800,0,0000000000000000000000000000000000000000000000000000000000000000,0,0,lv06_silicon,"{""hw"": ""lv06"", ""rt"": 1.2087000000756234}"
1766782751695122176,0,0000000000000000000000000000000000000000000000000000000000000000,0,0,lv06_silicon,"{""hw"": ""lv06"", ""rt"": 1.6888079000636935}"
1766782773188459520,0,0000000000000000000000000000000000000000000000000000000000000000,0,0,lv06_silicon,"{""hw"": ""lv06"", ""rt"": 1.4512423000996932}"
1766782797229106432,0,0000000000000000000000000000000000000000000000000000000000000000,0,0,lv06_silicon,"{""hw"": ""lv06"", ""rt"": 1.9710026000393555}"
1766782804824044288,0,0000000000000000000000000000000000000000000000000000000000000000,0,0,lv06_silicon,"{""hw"": ""lv06"", ""rt"": 1.569531499990262}"
1766782818055650304,0,0000000000000000000000000000000000000000000000000000000000000000,0,0,lv06_silicon,"{""hw"": ""lv06"", ""rt"": 1.1866483999183401}"
1766782871296077568,0,0000000000000000000000000000000000000000000000000000000000000000,0,0,lv06_silicon,"{""hw"": ""lv06"", ""rt"": 1.0778203998925164}"
1766782892128494080,0,0000000000000000000000000000000000000000000000000000000000000000,0,0,lv06_silicon,"{""hw"": ""lv06"", ""rt"": 0.7544352000113577}"
