window_idx,window_t0_ns,window_t1_ns,cv,hist_entropy,hamming_norm,event_rate_hz,psd_peak_hz,psd_peak_power,psd_peak_snr_db,psd_peak_bandwidth_hz,psd_peak_q,psd_peak_hz_error_hz
0,125793196289799,125797975389198,0.8628449654527468,0.7013781191217037,0.46510416666666665,3.3479111155017844,10.0,26.003027134655646,6.519895993501663,0.20833333333333393,47.999999999999865,7.6
1,125793965124364,125798266339924,0.8546777308938804,0.7013781191217037,0.45989583333333334,3.7198786661136323,4.3678160919540225,14.087202146807346,4.958488499912441,0.22988505747126453,18.999999999999986,1.9678160919540226
2,125794228974001,125798472751695,0.8691814083028576,0.6747114524550369,0.46328125,3.7702257643281722,6.117647058823529,18.82395354597171,7.591794604552242,0.23529411764705888,25.999999999999993,3.717647058823529
3,125794272815862,125798647300507,0.8196995363975625,0.6747114524550369,0.4635416666666667,3.657573702604687,6.136363636363636,17.975079248377106,6.613833520784299,0.22727272727272663,27.000000000000075,3.736363636363636
4,125794310319009,125799048062777,0.727193587130061,0.6480447857883704,0.46015625,3.377134936690396,6.7368421052631575,19.62522955162695,7.315186812216973,0.4210526315789469,16.000000000000018,4.336842105263157
5,125794529568668,125800188473690,0.8238990735106868,0.6186138415543778,0.46145833333333336,2.8274021100896998,4.385964912280701,20.58617070230202,6.7783535986841015,0.35087719298245634,12.499999999999991,1.9859649122807013
6,125794632496092,125800276733768,0.8285549554200412,0.6186138415543778,0.4588541666666667,2.8347495124158195,9.734513274336283,23.40020100554227,8.82716536601794,0.3539823008849545,27.500000000000096,7.334513274336283
7,125795436762400,125800473599048,0.8665073838893773,0.5792583058091856,0.4630208333333333,3.1765969631659967,9.702970297029703,20.89994666224866,7.608715082552391,0.1980198019801982,48.99999999999996,7.302970297029702
8,125795619568770,125800748070053,0.8437352424320823,0.6186138415543779,0.4630208333333333,3.1198198298276605,7.378640776699029,19.122383669053374,7.095795905907698,0.5825242718446608,12.666666666666654,4.978640776699029
9,125795757563152,125800796489131,0.8748064612676882,0.6471852701258065,0.4640625,3.1752798248438014,6.534653465346534,18.346226214327892,6.2200469012005835,0.3960396039603964,16.499999999999986,4.134653465346535
10,125795909380994,125801547918187,0.8180439746843424,0.6471852701258064,0.46380208333333334,2.837615404907377,9.557522123893806,22.422611250553118,6.87732512955626,0.3539823008849563,26.99999999999996,7.157522123893806
11,125795931362441,125801569415621,0.8182201257979581,0.6471852701258064,0.46119791666666665,2.837859007211422,9.91150442477876,24.523523070106226,9.014328080198394,0.17699115044247726,56.00000000000019,7.51150442477876
12,125796613549479,125801637503051,0.9097910493303201,0.675756698697235,0.46067708333333335,3.184742806775285,9.504950495049505,16.058367129207912,6.399652301881943,0.3960396039603964,23.99999999999998,7.104950495049504
13,125797230163999,125802771377443,0.9816489316922241,0.675756698697235,0.4591145833333333,2.887454194229736,3.6036036036036028,18.426915613394048,6.591187303867954,0.5405405405405403,6.666666666666668,1.2036036036036029
14,125797679813776,125802910526626,1.051200751668133,0.7043281272686636,0.4578125,3.058856499836346,3.6190476190476186,20.12821983454897,6.719296577541085,0.38095238095238093,9.5,1.2190476190476187
15,125797975389198,125803552843436,1.0054024543448488,0.732899555840092,0.46015625,2.868692295310949,8.928571428571427,19.141944554602755,5.61779814044169,0.35714285714285765,24.99999999999996,6.528571428571427
16,125798266339924,125803556568215,1.0929206005659289,0.7093187128589878,0.4627604166666667,3.0244441486995934,3.584905660377358,20.810516147700177,6.709199571150557,0.37735849056603765,9.500000000000002,1.1849056603773582
17,125798472751695,125803866248170,1.066762020555212,0.7400879436282186,0.46015625,2.966535729496328,9.62962962962963,24.484031536540215,6.205291722475385,0.18518518518518512,52.00000000000002,7.229629629629629
18,125798647300507,125803888384003,1.118396993417368,0.7093187128589878,0.4627604166666667,3.052803873895773,3.6190476190476186,32.0565967590219,6.27180144807448,0.38095238095238093,9.5,1.2190476190476187
19,125799048062777,125804513499284,1.0899098536759975,0.678549482089757,0.4640625,2.92748803860544,1.4545454545454546,23.76933990567716,6.768945021731608,0.36363636363636376,3.9999999999999987,0.9454545454545453
20,125800188473690,125804630076723,1.1406703369300206,0.7043281272686636,0.4625,3.602303015628366,6.067415730337078,15.169422963601049,6.5273080500929925,0.44943820224719033,13.50000000000002,3.6674157303370785
21,125800276733768,125804935464004,1.0716435859306646,0.675756698697235,0.4671875,3.4344122087948254,7.446808510638298,16.97710598555159,6.1793475310224935,0.4255319148936172,17.499999999999993,5.046808510638298
22,125800473599048,125806057742413,1.050144303439249,0.6471852701258065,0.46640625,2.865255949602576,6.428571428571428,30.200333370150673,7.884682664487769,0.35714285714285765,17.99999999999997,4.0285714285714285
23,125800748070053,125806573657760,1.0083080367320165,0.6471852701258065,0.4625,2.746504010363533,6.495726495726495,32.841106999742564,7.476734360338555,0.5128205128205128,12.666666666666666,4.095726495726495
24,125800796489131,125807506579050,0.9012744838628431,0.6471852701258065,0.4635416666666667,2.3844687914978744,9.62962962962963,33.95900566859699,7.347634954928303,0.2962962962962976,32.49999999999986,7.229629629629629
25,125801547918187,125807757788780,0.9586303028290708,0.6471852701258065,0.4609375,2.576543224271984,9.6,34.095725049671806,8.329096211067066,0.16000000000000014,59.99999999999994,7.199999999999999
26,125801569415621,125807878328078,0.9287891665128304,0.6471852701258065,0.46380208333333334,2.536094787976862,6.456692913385827,29.770572506937672,8.537798889245858,0.15748031496063053,40.999999999999844,4.056692913385827
27,125801637503051,125807932101827,0.9331387053978909,0.6471852701258065,0.46640625,2.5418617721918486,3.015873015873016,22.063464764957306,6.300697734403469,0.4761904761904763,6.333333333333332,0.6158730158730159
28,125802771377443,125807961049428,1.0095083104687042,0.675756698697235,0.47239583333333335,3.0830464904613812,6.538461538461538,11.712641323733425,7.1554961771816,0.1923076923076925,33.999999999999964,4.138461538461538
29,125802910526626,125808195625991,0.9822501223062637,0.675756698697235,0.47421875,3.027379221279787,9.245283018867925,12.724000083485512,6.8203831951869525,0.37735849056603676,24.500000000000064,6.845283018867924
30,125803552843436,125808210287477,1.1158432990132396,0.7043281272686636,0.47239583333333335,3.435360652570425,0.2127659574468085,8.61592541960091,6.9290071720736375,0.2127659574468085,1.0,2.1872340425531913
31,125803556568215,125809015270921,0.9820616228587149,0.7280447857883704,0.47604166666666664,2.931099358536856,0.18181818181818182,10.249558846696061,6.189707763759952,0.18181818181818182,1.0,2.2181818181818183
32,125803866248170,125809144628225,1.0296867786402342,0.7179796190928575,0.4783854166666667,3.0312330361365007,4.339622641509433,12.483579619760723,6.47469028876351,0.18867924528301838,23.000000000000057,1.9396226415094335
33,125803888384003,125809845166808,0.9079729861339558,0.6913129524261908,0.4739583333333333,2.6860136627056352,0.6666666666666666,19.466086068697145,6.26045578258163,0.5,1.3333333333333333,1.7333333333333334
34,125804513499284,125810305044299,0.9209975984950882,0.6913129524261908,0.4713541666666667,2.7626479563847437,4.310344827586206,35.146668712514305,6.920468488957642,0.5172413793103452,8.333333333333327,1.9103448275862065
35,125804630076723,125810479503587,0.9046246668711034,0.7280447857883704,0.4752604166666667,2.7353107188109633,8.547008547008545,43.234482811944936,7.859547170991013,0.5128205128205128,16.666666666666664,6.147008547008545
