t_ns,delta_s
125389414163360,0.067677871
125389566504098,0.152340738
125389712371090,0.145866992
125390570779705,0.8584086150000001
125390867459609,0.296679904
125390927928900,0.060469291
125391001385533,0.07345663300000001
125391010104783,0.008719250000000001
125391888051416,0.8779466330000001
125392272589051,0.38453763500000004
125393690298002,1.417708951
125393870358945,0.180060943
125394293513359,0.42315441400000003
125394302242250,0.008728891
125394508251476,0.20600922600000002
125394602064974,0.09381349800000001
125395121801050,0.519736076
125395184869449,0.063068399
125395213155201,0.028285752
125395685662015,0.47250681400000005
125395698221227,0.012559212
125395782371096,0.084149869
125395889901772,0.107530676
125396179027644,0.289125872
125396981393061,0.8023654170000001
125397146013494,0.164620433
125397194270854,0.048257360000000006
125398083369571,0.8890987170000001
125398115868223,0.032498652
125398334222449,0.218354226
125398541752333,0.20752988400000003
125399777999167,1.2362468340000001
125399832342647,0.054343480000000007
125400124688817,0.29234617
125400187055288,0.06236647100000001
125400922493824,0.7354385360000001
125401276277938,0.35378411400000004
125401540557269,0.264279331
125401570429874,0.029872605000000003
125402090670202,0.5202403280000001
125402274841311,0.184171109
125402351718854,0.076877543
125402370947085,0.019228231000000002
125402511382095,0.14043501
125402608689145,0.09730705
125403422164759,0.813475614
125403548610423,0.126445664
125403956343270,0.407732847
125404391771288,0.43542801800000003
125404422353294,0.030582006000000002
125404496350421,0.07399712700000001
125405231551457,0.7352010360000001
125405241515787,0.00996433
125405394550090,0.153034303
125405426874653,0.032324563
125405602126267,0.175251614
125405690630053,0.088503786
125405739060957,0.048430904000000004
125405749975827,0.01091487
125405993695919,0.24372009200000003
125406273281412,0.279585493
125407126755780,0.8534743680000001
125407133999364,0.007243584000000001
125407166697976,0.032698612
125407367709582,0.201011606
125407589300002,0.22159042
125408140269489,0.550969487
