t_ns,delta_s
125579829483125,0.276188138
125579981943995,0.15246087
125580248072931,0.26612893600000004
125580280679560,0.032606629000000005
125580448820693,0.168141133
125580597880101,0.149059408
125580628699184,0.030819083
125580742889017,0.114189833
125581416871153,0.673982136
125582282100894,0.865229741
125582980655874,0.69855498
125583012348777,0.031692903
125583271733338,0.259384561
125583858301439,0.586568101
125583969428131,0.11112669200000001
125584082761553,0.113333422
125584423714061,0.34095250800000004
125584682214531,0.25850047000000004
125585026160008,0.343945477
125585066441420,0.040281412
125586122654046,1.056212626
125586157792416,0.03513837
125586800611147,0.6428187310000001
125587031373120,0.230761973
125587538410114,0.507036994
125587743159613,0.204749499
125588066403043,0.32324343
125588066749293,0.00034625000000000004
125588561430876,0.49468158300000004
125588620241322,0.058810446
125590322252382,1.70201106
125590827450407,0.505198025
125590865465990,0.038015583000000006
125590900213406,0.034747416
125590969576559,0.06936315300000001
125591126177151,0.156600592
125591158743270,0.032566119000000004
125591514117336,0.35537406600000004
125591596231933,0.08211459700000001
125591626941373,0.03070944
125591922333895,0.295392522
125592055656794,0.133322899
125592445923114,0.39026632
125592521617260,0.075694146
125592809790318,0.28817305800000004
125593299387437,0.489597119
125593593420713,0.294033276
125593698795142,0.105374429
125594169559116,0.47076397400000003
125594270797365,0.101238249
125594567002106,0.296204741
125594923879705,0.35687759900000005
125594955157330,0.031277625
125595080532841,0.125375511
125595157071290,0.07653844900000001
125595828761999,0.671690709
125595866095470,0.037333471
125595890937074,0.024841604000000003
125595908201702,0.017264628
125596403843435,0.49564173300000003
125596592744828,0.188901393
125597023468482,0.430723654
125597046399833,0.022931351000000003
125597130912623,0.08451279
125597338319486,0.20740686300000002
125598126248836,0.7879293500000001
125598237313654,0.11106481800000001
