t_ns,delta_s
125696225454662,0.26622811300000004
125696418699717,0.193245055
125697870483566,1.4517838490000001
125699979457844,2.1089742780000003
125701058892304,1.07943446
125702479828294,1.42093599
125702653520313,0.173692019
125702685411551,0.031891238
125703447244598,0.7618330470000001
125703979611449,0.532366851
125704090451980,0.110840531
125705371911152,1.2814591720000001
125707510233950,2.138322798
125708115511221,0.6052772710000001
125708893496940,0.777985719
125709387756647,0.49425970700000005
125709430937379,0.043180732
125709709694277,0.27875689800000003
125710996370133,1.286675856
125711023338389,0.026968256000000003
125711112615380,0.089276991
125711116317473,0.003702093
125711546976252,0.43065877900000005
125711566878350,0.019902098
125713197927313,1.631048963
125713285085704,0.087158391
125714519279611,1.234193907
