t_ns,attempts_total,attempts_per_s
125186977909522,405617,405617
125187977909120,783044,377427
125188977907599,1128859,345815
125189977909329,1519979,391120
125190977908937,1926045,406066
125191977908103,2331588,405543
125192977919571,2735608,404020
125193977907844,3141710,406102
125194977909057,3543812,402102
125195977908238,3943594,399782
125196977909165,4344895,401301
125197977908346,4753721,408826
125198977908997,5157413,403692
125199977908034,5567983,410570
125200977909414,5972988,405005
125201977909964,6378360,405372
125202977909155,6787711,409351
125203977908743,7198124,410413
125204977908189,7604413,406289
