t_ns,delta_s
125580224985704,0.671690717
125580413887088,0.188901384
125580673271638,0.25938455
125580704549262,0.031277624000000004
125581291117366,0.586568104
125581308381992,0.017264626
125581384076137,0.075694145
125582026894870,0.642818733
125582417161203,0.390266333
125582451908620,0.034747417
125582489242093,0.037333473
125582600306917,0.111064824
125582888479970,0.288173053
125582913321571,0.024841601
125583038697089,0.12537551800000002
125583246103951,0.20740686200000003
125583357230642,0.11112669100000001
125584031212790,0.673982148
125584061922232,0.030709442000000003
125584167296655,0.10537442300000001
125584522670724,0.355374069
125585578883356,1.056212632
125585919835860,0.34095250400000005
125586350559503,0.43072364300000004
125586409369951,0.058810448
125586441976580,0.032606629000000005
125586518515021,0.076538441
125586686656157,0.168141136
125587474585518,0.787929361
125587509723892,0.035138374
125587662184771,0.15246087900000002
125587928313695,0.266128924
125588285191294,0.35687759900000005
125588780833025,0.49564173100000003
125588818848604,0.038015579
125588850541504,0.0316929
125588983864398,0.133322894
125589280069139,0.296204741
125589394258965,0.11418982600000001
125589888940535,0.49468157
125589889286785,0.00034625000000000004
125590184679294,0.295392509
125590266793884,0.08211459
125591132023628,0.8652297440000001
125591233261872,0.101238244
125591740298880,0.5070370080000001
125591780580295,0.040281415
125591985329792,0.204749497
125592054692941,0.069363149
125592285454901,0.23076196000000002
125592434514312,0.149059411
125592939712343,0.505198031
125592970531425,0.030819082
125593293774849,0.323243424
125593326340964,0.032566115
125593482941556,0.156600592
125593776974830,0.294033274
125594475529822,0.698554992
125594751717961,0.276188139
125595222481954,0.47076399300000005
125595245413304,0.022931350000000003
125595329926083,0.08451277900000001
125595819523212,0.489597129
125596163468698,0.343945486
125596421969173,0.258500475
125596535302602,0.11333342900000001
125598237313654,1.702011052
