t_ns,delta_s
125696121367180,0.162140631
125696374114541,0.252747361
125697480250380,1.106135839
125697594929771,0.114679391
125697612270266,0.017340495
125697629279780,0.017009514
125697818507577,0.189227797
125697867055812,0.048548235
125697942596965,0.075541153
125698180904080,0.238307115
125698203922288,0.023018208000000002
125698378686573,0.17476428500000002
125699900932459,1.522245886
125700199347396,0.298414937
125700700946590,0.5015991940000001
125704986131575,4.285184985
125706811480885,1.82534931
125707402384226,0.5909033410000001
125707771865511,0.36948128500000005
125707789607818,0.017742307000000002
125708199942422,0.41033460400000005
125708341535489,0.14159306700000002
125710670772433,2.3292369440000003
125710731504333,0.060731900000000005
125712031015037,1.299510704
125712053912895,0.022897858
125714519279614,2.4653667190000004
